iter	Passed	Remaining
0	136	136849
1	137	68818
2	138	46083
3	139	34718
4	140	27885
5	140	23337
6	141	20085
7	142	17649
8	143	15757
9	143	14235
10	144	12999
11	145	11958
12	146	11086
13	146	10339
14	147	9683
15	148	9108
16	148	8604
17	149	8160
18	151	7800
19	151	7445
20	152	7120
21	153	6823
22	154	6543
23	154	6288
24	155	6052
25	155	5834
26	156	5630
27	156	5441
28	157	5266
29	157	5105
30	158	4953
31	159	4811
32	159	4677
33	160	4555
34	160	4436
35	161	4328
36	162	4223
37	162	4121
38	163	4037
39	164	3953
40	165	3880
41	166	3801
42	167	3725
43	168	3651
44	168	3583
45	169	3515
46	170	3451
47	170	3388
48	171	3328
49	172	3271
50	172	3218
51	173	3162
52	174	3111
53	174	3062
54	175	3015
55	176	2969
56	176	2925
57	177	2884
58	178	2849
59	180	2833
60	181	2797
61	182	2760
62	183	2725
63	184	2691
64	184	2657
65	185	2625
66	186	2595
67	187	2564
68	188	2538
69	189	2513
70	190	2487
71	190	2461
72	191	2433
73	192	2408
74	195	2413
75	196	2389
76	197	2363
77	197	2338
78	198	2314
79	199	2290
80	199	2267
81	200	2245
82	200	2219
83	201	2198
84	202	2177
85	202	2157
86	203	2138
87	204	2123
88	205	2104
89	206	2085
90	206	2065
91	207	2046
92	209	2041
93	210	2033
94	212	2024
95	213	2007
96	213	1992
97	214	1976
98	215	1960
99	216	1944
100	216	1929
101	217	1915
102	218	1903
103	219	1888
104	219	1874
105	220	1860
106	221	1846
107	223	1843
108	224	1838
109	225	1827
110	227	1820
111	228	1807
112	228	1795
113	229	1785
114	230	1773
115	231	1761
116	231	1748
117	232	1736
118	233	1725
119	233	1713
120	234	1702
121	234	1690
122	235	1680
123	238	1685
124	240	1686
125	241	1677
126	242	1668
127	243	1658
128	244	1648
129	244	1638
130	245	1627
131	245	1617
132	246	1607
133	247	1597
134	247	1587
135	248	1577
136	248	1567
137	249	1557
138	249	1547
139	250	1538
140	254	1552
141	255	1542
142	256	1535
143	256	1527
144	257	1518
145	258	1510
146	258	1502
147	259	1493
148	260	1485
149	260	1476
150	261	1468
151	261	1459
152	262	1451
153	262	1442
154	263	1434
155	263	1426
156	264	1418
157	264	1411
158	265	1405
159	268	1407
160	268	1400
161	270	1399
162	271	1393
163	272	1386
164	272	1379
165	273	1372
166	273	1365
167	274	1358
168	274	1351
169	275	1344
170	275	1337
171	276	1330
172	276	1323
173	277	1317
174	277	1310
175	278	1303
176	279	1297
177	279	1290
178	279	1284
179	282	1287
180	283	1284
181	285	1281
182	285	1275
183	286	1269
184	286	1264
185	287	1258
186	288	1252
187	288	1247
188	289	1241
189	290	1236
190	290	1231
191	291	1225
192	291	1219
193	292	1214
194	292	1208
195	293	1203
196	293	1197
197	295	1198
198	298	1199
199	298	1195
200	299	1191
201	300	1187
202	301	1182
203	301	1178
204	302	1173
205	303	1168
206	303	1163
207	304	1158
208	304	1153
209	305	1148
210	305	1143
211	306	1138
212	306	1133
213	307	1129
214	307	1124
215	308	1120
216	312	1127
217	313	1124
218	314	1120
219	314	1116
220	315	1112
221	316	1107
222	316	1103
223	317	1099
224	317	1094
225	318	1090
226	319	1086
227	319	1082
228	320	1077
229	320	1073
230	321	1069
231	321	1064
232	322	1060
233	322	1056
234	323	1052
235	324	1049
236	326	1050
237	327	1048
238	328	1045
239	329	1042
240	329	1038
241	330	1034
242	330	1030
243	331	1026
244	331	1022
245	332	1018
246	332	1014
247	333	1010
248	333	1006
249	334	1002
250	334	999
251	335	995
252	335	991
253	336	987
254	336	984
255	337	980
256	337	976
257	340	978
258	341	976
259	342	975
260	343	971
261	343	968
262	344	964
263	344	961
264	345	957
265	345	954
266	346	950
267	346	947
268	347	944
269	347	940
270	348	937
271	349	934
272	349	930
273	350	927
274	350	924
275	351	921
276	351	918
277	352	915
278	352	912
279	354	912
280	355	909
281	356	906
282	356	904
283	357	901
284	358	898
285	358	895
286	359	892
287	359	889
288	360	886
289	361	884
290	361	881
291	362	878
292	362	875
293	363	872
294	364	870
295	364	867
296	365	864
297	365	862
298	366	859
299	367	856
300	367	853
301	369	852
302	370	851
303	370	849
304	371	846
305	371	843
306	372	840
307	372	837
308	373	835
309	374	832
310	374	829
311	375	827
312	375	824
313	376	821
314	376	819
315	377	816
316	377	813
317	378	811
318	378	808
319	379	806
320	380	803
321	380	801
322	381	798
323	381	796
324	382	794
325	383	792
326	384	790
327	384	788
328	385	786
329	386	784
330	386	781
331	387	779
332	388	777
333	388	774
334	389	772
335	389	770
336	390	767
337	390	765
338	391	763
339	392	761
340	392	759
341	393	756
342	393	754
343	394	752
344	394	749
345	395	747
346	396	745
347	396	743
348	397	740
349	398	740
350	399	738
351	399	735
352	400	733
353	400	731
354	401	729
355	401	727
356	402	724
357	403	722
358	403	720
359	404	718
360	404	716
361	405	714
362	405	712
363	406	710
364	406	707
365	407	705
366	408	703
367	408	701
368	409	699
369	409	697
370	410	695
371	410	693
372	411	691
373	412	690
374	413	689
375	414	687
376	414	685
377	415	683
378	416	681
379	416	679
380	417	677
381	417	675
382	418	673
383	418	671
384	419	670
385	420	668
386	420	666
387	421	664
388	421	662
389	422	660
390	422	658
391	423	656
392	424	654
393	424	653
394	425	651
395	425	649
396	426	647
397	426	645
398	428	645
399	429	643
400	429	642
401	430	640
402	430	638
403	431	636
404	432	634
405	432	632
406	433	631
407	433	629
408	434	627
409	434	625
410	435	623
411	435	622
412	436	620
413	436	618
414	437	616
415	437	614
416	438	613
417	439	611
418	439	609
419	440	607
420	440	605
421	441	604
422	442	603
423	443	602
424	443	600
425	444	598
426	445	597
427	445	595
428	446	593
429	446	592
430	447	590
431	447	588
432	448	587
433	448	585
434	449	583
435	449	582
436	450	580
437	451	578
438	451	577
439	452	575
440	452	573
441	453	572
442	453	570
443	454	568
444	454	567
445	455	565
446	455	563
447	456	562
448	457	561
449	458	560
450	458	558
451	459	557
452	460	555
453	460	554
454	461	552
455	461	551
456	462	549
457	463	547
458	463	546
459	464	544
460	464	543
461	465	541
462	465	540
463	466	538
464	466	537
465	467	535
466	467	534
467	468	532
468	468	530
469	469	529
470	469	527
471	470	526
472	471	525
473	472	524
474	472	522
475	473	521
476	474	519
477	474	518
478	475	517
479	476	515
480	476	514
481	477	512
482	477	511
483	478	509
484	478	508
485	479	506
486	479	505
487	480	504
488	480	502
489	481	501
490	481	499
491	482	498
492	483	496
493	483	495
494	484	493
495	484	492
496	485	490
497	485	489
498	487	489
499	487	487
500	488	486
501	488	484
502	489	483
503	489	482
504	490	480
505	490	479
506	491	477
507	492	476
508	492	475
509	493	473
510	493	472
511	494	471
512	494	469
513	495	468
514	495	467
515	496	465
516	496	464
517	497	462
518	498	461
519	498	460
520	499	458
521	499	457
522	500	456
523	500	454
524	501	453
525	502	452
526	503	451
527	503	450
528	504	449
529	505	447
530	505	446
531	506	445
532	506	444
533	507	442
534	508	441
535	508	440
536	509	439
537	509	437
538	510	436
539	511	435
540	511	434
541	512	432
542	512	431
543	513	430
544	513	429
545	514	427
546	515	426
547	517	426
548	517	425
549	518	424
550	518	422
551	519	421
552	519	420
553	520	419
554	521	417
555	521	416
556	522	415
557	522	414
558	523	412
559	523	411
560	524	410
561	524	409
562	525	407
563	525	406
564	526	405
565	526	404
566	527	402
567	527	401
568	528	400
569	529	399
570	529	397
571	530	396
572	531	395
573	531	394
574	532	393
575	533	392
576	533	391
577	534	390
578	535	389
579	535	388
580	536	386
581	536	385
582	537	384
583	538	383
584	538	382
585	539	380
586	539	379
587	540	378
588	540	377
589	541	376
590	541	374
591	542	373
592	542	372
593	543	371
594	543	370
595	544	369
596	546	368
597	547	367
598	547	366
599	548	365
600	549	364
601	550	363
602	550	362
603	551	361
604	552	360
605	553	359
606	553	358
607	554	357
608	555	356
609	555	355
610	556	354
611	557	353
612	557	352
613	558	351
614	559	350
615	560	349
616	561	348
617	562	347
618	563	346
619	563	345
620	564	344
621	565	343
622	566	342
623	566	341
624	567	340
625	567	339
626	568	338
627	569	337
628	569	336
629	570	335
630	571	334
631	571	333
632	572	331
633	573	330
634	573	329
635	575	329
636	576	328
637	577	327
638	577	326
639	578	325
640	578	324
641	579	323
642	580	322
643	581	321
644	581	320
645	582	319
646	583	318
647	583	317
648	584	316
649	585	315
650	585	314
651	586	313
652	587	312
653	587	310
654	588	309
655	589	308
656	590	308
657	591	307
658	592	306
659	593	305
660	593	304
661	594	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	599	297
668	600	296
669	600	295
670	601	294
671	602	293
672	602	292
673	603	291
674	604	291
675	605	290
676	606	289
677	607	288
678	608	287
679	608	286
